# ID: EME25735
# Length: 260
# Product: resolvase
# Score: 533
# Hits: 1
XP_005702255.1	100.000	0.0	533	100.00	130081
# ID: EME25820
# Length: 65
# Product: endonuclease, partial
# Score: 125
# Hits: 52
XP_005702340.1	100.000	4.03e-36	125	100.00	130081
XP_025393701.1	71.212	3.26e-18	80.1	100.00	1448321
XP_025393711.1	66.154	6.52e-17	76.6	100.00	1448321
EGN91099.1	67.692	4.55e-16	74.3	100.00	936435
EGZ74193.1	64.615	1.53e-15	73.2	100.00	510952
EMD30330.1	67.692	1.87e-15	72.8	100.00	914234
KDQ10220.1	68.254	7.25e-15	71.2	96.92	930990
XP_005822622.1	64.615	3.66e-14	70.1	100.00	905079
PCH36749.1	64.615	9.43e-14	68.6	100.00	742152
RRG06895.1	65.000	1.10e-13	68.2	92.31	1591
XP_025344798.1	63.077	2.03e-13	67.8	100.00	1684307
PKY22564.1	71.739	4.50e-11	61.6	70.77	588596
RPB18372.1	57.812	2.87e-10	59.7	98.46	1051890
XP_005711502.1	87.879	9.05e-10	57.8	50.77	2769
RMC78261.1	69.767	1.81e-09	57.8	64.62	1280
OIF92325.1	69.767	2.95e-09	57.4	64.62	470
OAH54959.1	82.353	3.80e-09	57.0	52.31	29332
ORY18895.1	65.217	3.95e-09	57.0	70.77	329046
OIB69497.1	82.353	4.89e-09	57.0	52.31	470
RWN67315.1	82.353	5.40e-09	56.6	52.31	1871066
OIC71920.1	82.353	5.58e-09	56.6	52.31	106654
RWN82493.1	82.353	6.29e-09	56.2	52.31	1871066
RTK47925.1	82.353	6.29e-09	56.2	52.31	1351
ELU14430.1	82.353	7.04e-09	56.2	52.31	283909
OID63868.1	82.353	7.20e-09	56.2	52.31	470
AVP62617.1	82.353	7.33e-09	56.2	52.31	1491
AVQ44174.1	82.353	7.41e-09	56.2	52.31	1491
EMB90742.1	82.353	7.60e-09	55.5	52.31	857135
OCW71708.1	69.767	7.69e-09	56.2	64.62	1117645
KKE82683.1	69.767	7.83e-09	56.2	64.62	1129367
RMC72166.1	82.353	8.27e-09	56.2	52.31	1280
XP_001866365.1	83.784	8.51e-09	55.5	56.92	7176
RDJ58316.1	87.500	1.70e-08	55.5	49.23	470
PKC55166.1	68.889	1.73e-08	55.5	67.69	588596
TKB42906.1	82.353	1.90e-08	55.1	52.31	2572245
KIM92493.1	66.667	1.94e-08	55.1	69.23	913774
RZN75706.1	82.353	2.07e-08	55.1	52.31	48296
OIB60110.1	82.353	2.21e-08	55.1	52.31	470
VDL88058.1	90.000	2.42e-08	54.3	46.15	70667
RFU14774.1	82.353	2.85e-08	54.7	52.31	2303751
PZE15567.1	82.353	2.88e-08	54.7	52.31	2219161
KFK21932.1	82.353	3.13e-08	53.9	52.31	50452
OIC27514.1	82.353	3.14e-08	54.7	52.31	470
XP_024716375.1	72.500	3.26e-08	54.3	61.54	857342
XP_003839872.1	73.684	3.34e-08	54.3	58.46	985895
OIC66430.1	79.412	1.02e-07	53.1	52.31	470
OIE29552.1	81.818	1.12e-07	53.1	50.77	470
OIE94685.1	81.818	1.22e-07	53.1	50.77	470
KYG39706.1	79.412	1.41e-07	53.1	52.31	766039
GAV63969.1	73.529	1.64e-07	53.1	52.31	3775
RTZ13352.1	79.412	1.70e-07	52.8	52.31	2496559
OIB96403.1	84.375	1.73e-07	52.8	49.23	470
# ID: EME25933
# Length: 91
# Product: hypothetical protein Gasu_64080, partial
# Score: 172
# Hits: 2
XP_005702453.1	100.000	2.86e-54	172	100.00	130081
XP_005707577.1	96.471	1.02e-47	157	93.41	130081
# ID: EME26043
# Length: 369
# Product: tRNA dimethylallyltransferase isoform 2
# Score: 767
# Hits: 17
XP_005708068.1	100.000	0.0	771	100.00	130081
XP_005708069.1	100.000	0.0	770	100.00	130081
XP_005702562.1	100.000	0.0	768	100.00	130081
XP_005702563.1	100.000	0.0	767	100.00	130081
PRW59253.1	43.323	1.06e-73	245	84.28	3076
XP_005831647.1	42.173	1.36e-71	238	83.47	905079
WP_109430047.1	40.264	2.15e-51	183	82.11	1765684
OFW33761.1	36.741	4.57e-48	174	82.66	1797195
HCG98272.1	36.977	2.79e-47	173	82.66	1883427
OGO84890.1	34.056	1.25e-46	171	86.72	1797681
WP_091743508.1	34.494	3.00e-44	164	84.55	112903
WP_089687770.1	35.463	7.73e-42	158	84.01	376427
WP_066535853.1	36.656	2.24e-41	157	82.93	1588750
WP_096280873.1	34.194	4.83e-40	154	83.74	2024405
KUJ89452.1	33.981	2.68e-38	149	83.74	1635257
XP_013898362.1	51.515	2.04e-33	141	35.77	145388
XP_013898362.1	31.308	2.47e-16	91.7	55.83	145388
# ID: EME26273
# Length: 120
# Product: hypothetical protein Gasu_60880
# Score: 231
# Hits: 1
XP_005702793.1	100.000	8.74e-77	231	100.00	130081
# ID: EME26368
# Length: 215
# Product: acetyltransferase
# Score: 444
# Hits: 1
XP_005702888.1	100.000	1.43e-157	444	100.00	130081
# ID: EME26409
# Length: 279
# Product: COPII-coated vesicle protein SurF4/Erv29, putative
# Score: 561
# Hits: 1
XP_005702929.1	100.000	0.0	561	100.00	130081
# ID: EME26463
# Length: 1105
# Product: peptidase, partial
# Score: 2265
# Hits: 1
XP_005702983.1	100.000	0.0	2265	100.00	130081
# ID: EME26465
# Length: 406
# Product: hypothetical protein Gasu_58710
# Score: 834
# Hits: 1
XP_005702985.1	100.000	0.0	834	100.00	130081
# ID: EME26602
# Length: 204
# Product: 60S ribosomal protein L15e isoform 2
# Score: 411
# Hits: 497
XP_005703122.1	100.000	3.03e-145	411	100.00	130081
GAQ80856.1	78.922	7.97e-113	330	100.00	105231
XP_010933963.1	78.922	6.60e-109	320	100.00	51953
OSX81083.1	81.373	7.78e-109	319	100.00	2786
PSR91590.1	76.961	1.14e-108	320	100.00	1590841
XP_010539086.1	76.961	2.28e-108	318	100.00	28532
SIP56126.1	77.723	2.95e-108	318	99.02	1054997
XP_010538411.1	76.471	9.89e-108	317	100.00	28532
XP_005534852.1	81.463	1.04e-107	317	100.00	280699
OAE19886.1	76.471	2.48e-107	316	100.00	1480154
XP_009601449.1	76.471	9.99e-107	314	100.00	4098
XP_022840836.1	75.980	1.11e-106	314	100.00	70448
XP_006369001.1	76.471	1.16e-106	314	100.00	3694
TEY28191.1	75.490	2.37e-106	313	100.00	180675
XP_009796395.1	75.980	2.40e-106	313	100.00	4096
TEY89686.1	75.490	2.46e-106	314	100.00	180675
OIT04560.1	76.471	2.67e-106	313	100.00	49451
TEY79116.1	75.490	4.02e-106	313	100.00	180675
KZV29692.1	74.020	5.61e-106	312	100.00	472368
XP_015079445.1	75.490	5.89e-106	312	100.00	28526
XP_011017435.1	75.980	6.22e-106	313	100.00	75702
OIT40620.1	75.490	6.42e-106	313	100.00	49451
XP_010540825.1	75.490	6.80e-106	312	100.00	28532
XP_004241917.1	75.980	1.15e-105	311	100.00	4081
XP_009764605.1	75.000	1.34e-105	311	100.00	4096
NP_001148602.1	75.490	1.36e-105	311	100.00	4577
XP_019258284.1	75.490	1.80e-105	311	100.00	49451
TEY72398.1	75.000	1.90e-105	311	100.00	180675
XP_009607935.1	75.490	1.93e-105	311	100.00	4098
KMZ58488.1	75.000	2.10e-105	311	100.00	29655
XP_002301250.1	75.490	2.50e-105	310	100.00	3694
XP_009768655.1	75.490	2.98e-105	310	100.00	4096
XP_004242022.1	75.000	2.98e-105	310	100.00	4081
O82528.1	75.980	3.19e-105	310	100.00	4102
PNH04892.1	73.529	3.44e-105	310	100.00	47790
XP_016582172.1	75.490	4.73e-105	310	100.00	4072
XP_009618098.1	74.510	5.33e-105	310	100.00	4098
OUS42284.1	75.743	6.23e-105	310	99.02	70448
XP_004236901.1	75.490	6.50e-105	310	100.00	4081
TEY29047.1	75.000	8.00e-105	309	100.00	180675
ACG38875.1	75.000	8.73e-105	309	100.00	4577
XP_016575153.1	74.510	9.13e-105	309	100.00	4072
TEY45341.1	75.000	1.14e-104	309	100.00	180675
XP_016569650.1	75.000	1.32e-104	309	100.00	4072
ACF88005.1	75.000	1.78e-104	308	100.00	4577
PHJ19384.1	73.171	4.10e-104	308	100.00	483139
PHU19457.1	75.000	5.36e-104	308	100.00	80379
PHT50278.1	75.369	7.28e-104	307	99.51	33114
XP_003563105.1	74.020	8.91e-104	306	100.00	15368
XP_027057433.1	73.659	1.07e-103	306	100.00	46731
PHU14609.1	74.384	1.40e-103	308	99.51	80379
PHT45548.1	74.384	2.15e-103	307	99.51	33114
XP_020146155.1	74.020	2.31e-103	306	100.00	169297
PHT59693.1	75.369	2.33e-103	307	99.51	33114
XP_001416062.1	73.529	3.04e-103	305	100.00	436017
XP_003573847.1	73.529	3.18e-103	305	100.00	15368
BAD22764.1	73.529	3.51e-103	305	100.00	15371
AAK67641.1	74.510	3.96e-103	305	100.00	9606
XP_017243597.1	73.529	4.51e-103	305	100.00	79200
PHU30094.1	74.877	4.64e-103	306	99.51	80379
PXF45692.1	76.961	6.07e-103	305	100.00	448386
XP_022807548.1	72.059	6.07e-103	305	100.00	50429
PHT83794.1	74.384	6.96e-103	305	99.51	4072
XP_020147920.1	74.020	7.63e-103	304	100.00	169297
XP_002598589.1	72.059	1.02e-102	304	100.00	7739
XP_021337217.1	73.659	1.59e-102	303	100.00	1133968
PHT78849.1	74.257	2.91e-102	304	99.02	4072
XP_003884098.1	72.195	3.91e-102	303	100.00	572307
XP_019618105.1	71.569	8.98e-102	301	100.00	7741
XP_007202591.1	74.020	8.98e-102	301	100.00	3760
XP_008241281.1	74.020	9.39e-102	301	100.00	102107
XP_022878153.1	78.922	1.19e-101	301	100.00	158386
XP_002366469.1	71.707	1.33e-101	301	100.00	508771
XP_010258850.1	78.922	1.45e-101	301	100.00	4432
XP_011621160.2	79.412	1.48e-101	301	100.00	13333
GAX77325.1	72.549	1.59e-101	301	100.00	1157962
